callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY,downstream_count,DELAY_BETA,DELAY_BETA_NORM
POE124,C-GKQT,TS,Air Transat,YUL,,2025-12-19 19:30:00+00:00,2025-12-19 21:02:00+00:00,A4,B20,30.0,0.0,38.072342,0,38.072342,1.6741187116271907
POE544,C-GKQV,TS,Air Transat,MIA,,2025-12-19 19:10:00+00:00,2025-12-19 22:30:00+00:00,,C38,2.0,2.0,2.1031764,1,4.2063528,0.18496193195011296
POE544,C-GKQV,PD,Porter,MIA,,2025-12-19 19:10:00+00:00,2025-12-19 22:30:00+00:00,,C38,2.0,0.0,3.9413679,0,3.9413679,0.17331000417039663
POE160,C-GKQY,PD,Porter,YOW,,2025-12-19 20:00:00+00:00,2025-12-19 21:18:00+00:00,26,B24,18.0,0.0,29.658415,6,207.60890500000002,9.128987981903816
POE209,C-GKQY,AA,American,,YHZ,2025-12-19 22:00:00+00:00,2025-12-20 00:12:00+00:00,B24,12,0.0,0.0,0.0,5,0.0,0.0
POE209,C-GKQY,TS,Air Transat,,YHZ,2025-12-19 22:00:00+00:00,2025-12-20 00:12:00+00:00,B24,12,0.0,0.0,0.7509657,4,3.7548285,0.16510748539716988
POE209,C-GKQY,PD,Porter,,YHZ,2025-12-19 22:00:00+00:00,2025-12-20 00:12:00+00:00,B24,12,0.0,18.0,0.9583501,3,3.8334004,0.1685624524700676
POE409,C-GKQY,PD,Porter,,YEG,2025-12-20 01:55:00+00:00,2025-12-20 06:16:00+00:00,B4,,0.0,0.0,270.29156,2,810.87468,35.65581740605059
POE409,C-GKQY,AA,American,,YEG,2025-12-20 01:55:00+00:00,2025-12-20 06:16:00+00:00,B4,,0.0,0.0,242.20763,1,484.41526,21.300729305377395
POE409,C-GKQY,TS,Air Transat,,YEG,2025-12-20 01:55:00+00:00,2025-12-20 06:16:00+00:00,B4,,0.0,0.0,258.73065,0,258.73065,11.376915621226182
ACA145,C-GKUH,OS,Austrian,,YYC,2025-12-19 19:40:00+00:00,2025-12-20 00:04:00+00:00,D24,C56,78.0,78.0,78.90739,2,236.72217,10.409157762188437
ACA145,C-GKUH,AC,Air Canada,,YYC,2025-12-19 19:40:00+00:00,2025-12-20 00:04:00+00:00,D24,C56,78.0,78.0,78.25992,1,156.51984,6.882497348991403
ACA145,C-GKUH,LH,Lufthansa,,YYC,2025-12-19 19:40:00+00:00,2025-12-20 00:04:00+00:00,D24,C56,78.0,0.0,71.30368,0,71.30368,3.135368580579506
POE551,C-GKXM,TS,Air Transat,,PBI,2025-12-19 20:50:00+00:00,2025-12-20 00:05:00+00:00,A14,,0.0,0.0,10.711393,3,42.845572,1.8840073929670529
POE551,C-GKXM,PD,Porter,,PBI,2025-12-19 20:50:00+00:00,2025-12-20 00:05:00+00:00,A14,,0.0,0.0,24.723896,2,74.171688,3.2614807556040017
POE552,C-GKXM,PD,Porter,PBI,,2025-12-20 01:05:00+00:00,2025-12-20 04:19:00+00:00,,C41,0.0,0.0,145.6221,1,291.2442,12.806602884395499
POE552,C-GKXM,TS,Air Transat,PBI,,2025-12-20 01:05:00+00:00,2025-12-20 04:19:00+00:00,,C41,0.0,0.0,147.91937,0,147.91937,6.504317100563599
POE672,C-GKXN,PD,Porter,SFO,,2025-12-19 21:40:00+00:00,2025-12-20 02:39:00+00:00,B2,A10,0.0,0.0,0.0,0,0.0,0.0
POE536,C-GKYC,PD,Porter,RSW,,2025-12-20 01:45:00+00:00,2025-12-20 04:49:00+00:00,,C38,0.0,0.0,160.88634,1,321.77268,14.149002561450732
POE536,C-GKYC,TS,Air Transat,RSW,,2025-12-20 01:45:00+00:00,2025-12-20 04:49:00+00:00,,C38,0.0,0.0,164.30997,0,164.30997,7.225045290985839
POE604,C-GKYN,TS,Air Transat,LGA,,2025-12-19 14:55:00+00:00,2025-12-19 16:35:00+00:00,,C37A,346.0,346.0,347.22385,1,694.4477,30.53628507582922
POE604,C-GKYN,PD,Porter,LGA,,2025-12-19 14:55:00+00:00,2025-12-19 16:35:00+00:00,,C37A,346.0,0.0,343.37952,0,343.37952,15.099099488588417
POE654,C-GKYS,PD,Porter,LAS,,2025-12-19 20:40:00+00:00,2025-12-20 00:55:00+00:00,,C38,0.0,0.0,2.2774215,2,6.8322645,0.3004286377296199
POE654,C-GKYS,AA,American,LAS,,2025-12-19 20:40:00+00:00,2025-12-20 00:55:00+00:00,,C38,0.0,0.0,0.0,1,0.0,0.0
POE654,C-GKYS,TS,Air Transat,LAS,,2025-12-19 20:40:00+00:00,2025-12-20 00:55:00+00:00,,C38,0.0,0.0,0.0,0,0.0,0.0
JZA839,C-GLJZ,AC,Air Canada,RDU,,2025-12-19 20:15:00+00:00,2025-12-19 22:10:00+00:00,,F87,0.0,0.0,0.0,0,0.0,0.0
WJA456,C-GLVU,WS,WestJet,YEG,,2025-12-20 00:50:00+00:00,2025-12-20 04:39:00+00:00,54,B3,0.0,0.0,275.7691,0,275.7691,12.12613110059239
