callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY,downstream_count,DELAY_BETA,DELAY_BETA_NORM
ACA1237,C-GYFY,AC,Air Canada,PBI,,2025-12-19 18:30:00+00:00,2025-12-19 20:50:00+00:00,,F53,43.0,0.0,40.817726,0,40.817726,1.7948388586830748
ACA114,C-GYJW,G3,Gol,YVR,,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,C49,D24,0.0,0.0,0.0,5,0.0,0.0
ACA114,C-GYJW,CA,Air China,YVR,,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,C49,D24,0.0,0.0,0.0,4,0.0,0.0
ACA114,C-GYJW,LO,LOT - Polish,YVR,,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,C49,D24,0.0,0.0,4.6881332,3,18.7525328,0.8245872042986649
ACA114,C-GYJW,CX,Cathay Pacific,YVR,,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,C49,D24,0.0,0.0,0.0,2,0.0,0.0
ACA114,C-GYJW,AC,Air Canada,YVR,,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,C49,D24,0.0,0.0,0.0,1,0.0,0.0
ACA114,C-GYJW,OZ,Asiana,YVR,,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,C49,D24,0.0,0.0,1.0809172,0,1.0809172,0.047530139076804645
ACA592,C-GYLQ,AC,Air Canada,IAH,,2025-12-19 17:55:00+00:00,2025-12-19 21:05:00+00:00,,F66,234.0,0.0,231.85281,2,695.55843,30.58512614467037
ACA592,C-GYLQ,OS,Austrian,IAH,,2025-12-19 17:55:00+00:00,2025-12-19 21:05:00+00:00,,F66,234.0,234.0,234.22757,1,468.45514,20.5989302006148
ACA592,C-GYLQ,UA,United,IAH,,2025-12-19 17:55:00+00:00,2025-12-19 21:05:00+00:00,,F66,234.0,234.0,232.94771,0,232.94771,10.243187039602253
ACA1040,C-GYLY,AC,Air Canada,DEN,,2025-12-20 00:30:00+00:00,2025-12-20 03:41:00+00:00,,F51,0.0,0.0,113.910416,1,227.820832,10.017747732715646
ACA1040,C-GYLY,UA,United,DEN,,2025-12-20 00:30:00+00:00,2025-12-20 03:41:00+00:00,,F51,0.0,0.0,153.00352,0,153.00352,6.727877569938438
POE404,C-GZQK,TS,Air Transat,YEG,,2025-12-19 19:50:00+00:00,2025-12-19 23:40:00+00:00,70,B17,50.0,0.0,46.51089,1,93.02178,4.090357837373597
POE404,C-GZQK,PD,Porter,YEG,,2025-12-19 19:50:00+00:00,2025-12-19 23:40:00+00:00,70,B17,50.0,50.0,50.11509,0,50.11509,2.203662960998846
POE322,C-GZQR,PD,Porter,YLW,,2025-12-19 20:00:00+00:00,2025-12-20 00:23:00+00:00,6,B15,0.0,0.0,0.0,1,0.0,0.0
POE322,C-GZQR,TS,Air Transat,YLW,,2025-12-19 20:00:00+00:00,2025-12-20 00:23:00+00:00,6,B15,0.0,0.0,0.96528417,0,0.96528417,0.04244551835120945
POE125,C-GZQV,TS,Air Transat,,YUL,2025-12-19 20:30:00+00:00,2025-12-19 21:55:00+00:00,B20,6,59.0,59.0,58.823963,1,117.647926,5.173219821904602
POE125,C-GZQV,PD,Porter,,YUL,2025-12-19 20:30:00+00:00,2025-12-19 21:55:00+00:00,B20,6,59.0,0.0,24.723896,0,24.723896,1.0871602518680006
POE526,C-GZQZ,PD,Porter,TPA,,2025-12-19 23:25:00+00:00,2025-12-20 02:19:00+00:00,,C37A,0.0,0.0,0.0,1,0.0,0.0
POE526,C-GZQZ,TS,Air Transat,TPA,,2025-12-19 23:25:00+00:00,2025-12-20 02:19:00+00:00,,C37A,0.0,0.0,1.2317532,0,1.2317532,0.05416270636113401
