number,callSign,status,codeshareStatus,isCargo,direction,departure.scheduledTime.utc,departure.scheduledTime.local,departure.revisedTime.utc,departure.revisedTime.local,departure.terminal,departure.gate,departure.quality,arrival.airport.icao,arrival.airport.iata,arrival.airport.name,arrival.airport.timeZone,arrival.scheduledTime.utc,arrival.scheduledTime.local,arrival.revisedTime.utc,arrival.revisedTime.local,arrival.quality,aircraft.reg,aircraft.modeS,aircraft.model,airline.name,airline.iata,airline.icao,arrival.terminal,arrival.baggageBelt,arrival.gate,arrival.runwayTime.utc,arrival.runwayTime.local,departure.runwayTime.utc,departure.runwayTime.local,departure.airport.icao,departure.airport.iata,departure.airport.name,departure.airport.timeZone,departure.checkInDesk
CX 1549,,Expected,IsCodeshared,False,departures,2025-12-20 01:20Z,2025-12-19 20:20-05:00,2025-12-20 01:20Z,2025-12-19 20:20-05:00,1,D41,"['Basic', 'Live']",CYVR,YVR,Vancouver,America/Vancouver,2025-12-20 06:20Z,2025-12-19 22:20-08:00,2025-12-20 06:20Z,2025-12-19 22:20-08:00,"['Basic', 'Live']",,,Boeing 787-9,Cathay Pacific,CX,CPA,M,5,C51,,,,,,,,,
TK 8694,,Expected,IsCodeshared,False,departures,2025-12-20 01:20Z,2025-12-19 20:20-05:00,2025-12-20 01:20Z,2025-12-19 20:20-05:00,1,D41,"['Basic', 'Live']",CYVR,YVR,Vancouver,America/Vancouver,2025-12-20 06:20Z,2025-12-19 22:20-08:00,2025-12-20 06:20Z,2025-12-19 22:20-08:00,"['Basic', 'Live']",,,Boeing 787-9,Turkish,TK,THY,M,5,C51,,,,,,,,,
EI 8633,,Expected,IsCodeshared,False,departures,2025-12-20 01:20Z,2025-12-19 20:20-05:00,2025-12-20 01:20Z,2025-12-19 20:20-05:00,1,D41,"['Basic', 'Live']",CYVR,YVR,Vancouver,America/Vancouver,2025-12-20 06:20Z,2025-12-19 22:20-08:00,2025-12-20 06:20Z,2025-12-19 22:20-08:00,"['Basic', 'Live']",,,Boeing 787-9,Aer Lingus,EI,EIN,M,5,C51,,,,,,,,,
PD 585,POE585,Expected,IsOperator,False,departures,2025-12-20 01:20Z,2025-12-19 20:20-05:00,2025-12-20 01:20Z,2025-12-19 20:20-05:00,3,A15,"['Basic', 'Live']",KMCO,MCO,Orlando,America/New_York,2025-12-20 04:25Z,2025-12-19 23:25-05:00,,,['Basic'],C-GZQW,C08863,Embraer 195,Porter,PD,POE,C,,,,,,,,,,,
AA 9148,POE585,Expected,IsCodeshared,False,departures,2025-12-20 01:20Z,2025-12-19 20:20-05:00,2025-12-20 01:20Z,2025-12-19 20:20-05:00,3,A15,"['Basic', 'Live']",KMCO,MCO,Orlando,America/New_York,2025-12-20 04:25Z,2025-12-19 23:25-05:00,,,['Basic'],C-GZQW,C08863,Embraer 195,American,AA,AAL,C,,,,,,,,,,,
TS 7073,POE585,Expected,IsCodeshared,False,departures,2025-12-20 01:20Z,2025-12-19 20:20-05:00,2025-12-20 01:20Z,2025-12-19 20:20-05:00,3,A15,"['Basic', 'Live']",KMCO,MCO,Orlando,America/New_York,2025-12-20 04:25Z,2025-12-19 23:25-05:00,,,['Basic'],C-GZQW,C08863,Embraer 195,Air Transat,TS,TSC,C,,,,,,,,,,,
UA 8268,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,United,UA,UAL,2,,,,,,,,,,,
A3 3054,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,Aegean,A3,AEE,2,,,,,,,,,,,
ME 4522,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,Middle East,ME,MEA,2,,,,,,,,,,,
LH 6585,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,Lufthansa,LH,DLH,2,,,,,,,,,,,
UL 2856,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,SriLankan,UL,ALK,2,,,,,,,,,,,
MS 9617,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,EgyptAir,MS,MSR,2,,,,,,,,,,,
AC 856,ACA856,Expected,IsOperator,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",C-GHPY,C058C3,Boeing 787-8,Air Canada,AC,ACA,2,,,,,,,,,,,
TG 5808,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,Thai  International,TG,THA,2,,,,,,,,,,,
OS 8224,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E69,"['Basic', 'Live']",EGLL,LHR,London,Europe/London,2025-12-20 08:30Z,2025-12-20 08:30+00:00,2025-12-20 08:30Z,2025-12-20 08:30+00:00,"['Basic', 'Live']",,,Boeing 787-8,Austrian,OS,AUA,2,,,,,,,,,,,
OU 5913,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E74,"['Basic', 'Live']",EHAM,AMS,Amsterdam,Europe/Amsterdam,2025-12-20 09:15Z,2025-12-20 10:15+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Airbus A330-300,Croatia,OU,CTN,,,,2025-12-20 09:25Z,2025-12-20 10:25+01:00,,,,,,,
BT 6410,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E74,"['Basic', 'Live']",EHAM,AMS,Amsterdam,Europe/Amsterdam,2025-12-20 09:15Z,2025-12-20 10:15+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Airbus A330-300,airBaltic,BT,BTI,,,,2025-12-20 09:25Z,2025-12-20 10:25+01:00,,,,,,,
UA 8126,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E74,"['Basic', 'Live']",EHAM,AMS,Amsterdam,Europe/Amsterdam,2025-12-20 09:15Z,2025-12-20 10:15+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Airbus A330-300,United,UA,UAL,,,,2025-12-20 09:25Z,2025-12-20 10:25+01:00,,,,,,,
OS 8228,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E74,"['Basic', 'Live']",EHAM,AMS,Amsterdam,Europe/Amsterdam,2025-12-20 09:15Z,2025-12-20 10:15+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Airbus A330-300,Austrian,OS,AUA,,,,2025-12-20 09:25Z,2025-12-20 10:25+01:00,,,,,,,
LH 6843,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E74,"['Basic', 'Live']",EHAM,AMS,Amsterdam,Europe/Amsterdam,2025-12-20 09:15Z,2025-12-20 10:15+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Airbus A330-300,Lufthansa,LH,DLH,,,,2025-12-20 09:25Z,2025-12-20 10:25+01:00,,,,,,,
AC 808,,Expected,IsOperator,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E74,"['Basic', 'Live']",EHAM,AMS,Amsterdam,Europe/Amsterdam,2025-12-20 09:15Z,2025-12-20 10:15+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Airbus A330-300,Air Canada,AC,ACA,,,,2025-12-20 09:25Z,2025-12-20 10:25+01:00,,,,,,,
LH 6593,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,Lufthansa,LH,DLH,2,,,,,,,,,,,
OU 5933,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,Croatia,OU,CTN,2,,,,,,,,,,,
AC 880,,Expected,IsOperator,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,Air Canada,AC,ACA,2,,,,,,,,,,,
TG 5833,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,Thai  International,TG,THA,2,,,,,,,,,,,
OS 8292,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,Austrian,OS,AUA,2,,,,,,,,,,,
UA 8520,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,United,UA,UAL,2,,,,,,,,,,,
LX 4641,,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E71,"['Basic', 'Live']",LSZH,ZRH,Zurich,Europe/Zurich,2025-12-20 09:25Z,2025-12-20 10:25+01:00,2025-12-20 09:25Z,2025-12-20 10:25+01:00,"['Basic', 'Live']",,,Boeing 777-200LR,SWISS,LX,SWR,2,,,,,,,,,,,
AC 1703,,Expected,IsOperator,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,F57,"['Basic', 'Live']",KLAS,LAS,Las Vegas,America/Los_Angeles,2025-12-20 06:31Z,2025-12-19 22:31-08:00,,,['Basic'],,,Airbus A320,Air Canada,AC,ACA,3,,,,,,,,,,,
UA 8614,ACA192,Expected,IsCodeshared,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,D38,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:20Z,2025-12-19 22:20-08:00,2025-12-20 06:50Z,2025-12-19 22:50-08:00,"['Basic', 'Live']",C-GJWD,C05EAC,Airbus A321,United,UA,UAL,,2,6,,,,,,,,,
AC 192,ACA192,Expected,IsOperator,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,D38,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:20Z,2025-12-19 22:20-08:00,2025-12-20 06:50Z,2025-12-19 22:50-08:00,"['Basic', 'Live']",C-GJWD,C05EAC,Airbus A321,Air Canada,AC,ACA,,2,6,,,,,,,,,
AC 8616,,Delayed,IsOperator,False,departures,2025-12-19 23:55Z,2025-12-19 18:55-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,F88,"['Basic', 'Live']",KIAD,IAD,Washington,America/New_York,2025-12-20 01:26Z,2025-12-19 20:26-05:00,,,['Basic'],,,Bombardier CRJ900,Air Canada,AC,ACA,,,,,,,,,,,,
AC 993,,Expected,IsOperator,False,departures,2025-12-20 01:25Z,2025-12-19 20:25-05:00,2025-12-20 01:25Z,2025-12-19 20:25-05:00,1,E81,"['Basic', 'Live']",MMMX,MEX,Mexico City,America/Mexico_City,2025-12-20 06:50Z,2025-12-20 00:50-06:00,,,['Basic'],,,Boeing 737,Air Canada,AC,ACA,1,,,,,,,,,,,
AC 8263,,Expected,IsOperator,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,D5,"['Basic', 'Live']",CYXU,YXU,London,America/Toronto,2025-12-20 02:21Z,2025-12-19 21:21-05:00,,,['Basic'],,,Bombardier CRJ900,Air Canada,AC,ACA,,,,,,,,,,,,
UA 8697,,Delayed,IsCodeshared,False,departures,2025-12-19 23:35Z,2025-12-19 18:35-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,F34,"['Basic', 'Live']",KBNA,BNA,Nashville,America/Chicago,2025-12-20 01:50Z,2025-12-19 19:50-06:00,,,['Basic'],,,Airbus A220-300,United,UA,UAL,,,,,,,,,,,,
AC 1103,,Delayed,IsOperator,False,departures,2025-12-19 23:35Z,2025-12-19 18:35-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,F34,"['Basic', 'Live']",KBNA,BNA,Nashville,America/Chicago,2025-12-20 01:50Z,2025-12-19 19:50-06:00,,,['Basic'],,,Airbus A220-300,Air Canada,AC,ACA,,,,,,,,,,,,
LH 6480,,Delayed,IsCodeshared,False,departures,2025-12-19 23:35Z,2025-12-19 18:35-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,F34,"['Basic', 'Live']",KBNA,BNA,Nashville,America/Chicago,2025-12-20 01:50Z,2025-12-19 19:50-06:00,,,['Basic'],,,Airbus A220-300,Lufthansa,LH,DLH,,,,,,,,,,,,
TK 8690,,Expected,IsCodeshared,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,D20,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-20 02:52Z,2025-12-19 21:52-05:00,2025-12-20 03:45Z,2025-12-19 22:45-05:00,"['Basic', 'Live']",,,Airbus A220-300,Turkish,TK,THY,,,47,,,,,,,,,
EI 8528,,Expected,IsCodeshared,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,D20,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-20 02:52Z,2025-12-19 21:52-05:00,2025-12-20 03:45Z,2025-12-19 22:45-05:00,"['Basic', 'Live']",,,Airbus A220-300,Aer Lingus,EI,EIN,,,47,,,,,,,,,
AC 426,,Expected,IsOperator,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,D20,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-20 02:52Z,2025-12-19 21:52-05:00,2025-12-20 03:45Z,2025-12-19 22:45-05:00,"['Basic', 'Live']",,,Boeing 737,Air Canada,AC,ACA,,,47,,,,,,,,,
AC 1680,,Expected,IsOperator,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,F96,"['Basic', 'Live']",KMCO,MCO,Orlando,America/New_York,2025-12-20 04:30Z,2025-12-19 23:30-05:00,,,['Basic'],,,Airbus A321,Air Canada,AC,ACA,B,,,,,,,,,,,
TS 7488,,Expected,IsCodeshared,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,3,A10,"['Basic', 'Live']",KFLL,FLL,Fort Lauderdale,America/New_York,2025-12-20 04:52Z,2025-12-19 23:52-05:00,,,['Basic'],,,,Air Transat,TS,TSC,3,,,,,,,,,,,
PD 515,,Expected,IsOperator,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,3,A10,"['Basic', 'Live']",KFLL,FLL,Fort Lauderdale,America/New_York,2025-12-20 04:52Z,2025-12-19 23:52-05:00,,,['Basic'],,,,Porter,PD,POE,3,,,,,,,,,,,
AA 9144,,Expected,IsCodeshared,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,3,A10,"['Basic', 'Live']",KFLL,FLL,Fort Lauderdale,America/New_York,2025-12-20 04:52Z,2025-12-19 23:52-05:00,,,['Basic'],,,,American,AA,AAL,3,,,,,,,,,,,
AC 8205,,Expected,IsOperator,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,D3,"['Basic', 'Live']",CYAM,YAM,Sault Ste Marie,America/Toronto,2025-12-20 02:57Z,2025-12-19 21:57-05:00,,,['Basic'],,,Bombardier Dash 8 Q400 / DHC-8-400,Air Canada,AC,ACA,,,,,,,,,,,,
AC 8500,,Expected,IsOperator,False,departures,2025-12-20 01:30Z,2025-12-19 20:30-05:00,2025-12-20 01:30Z,2025-12-19 20:30-05:00,1,D7,"['Basic', 'Live']",CYSJ,YSJ,Saint John,America/Moncton,,,,,[],,,Bombardier CRJ900,Air Canada,AC,ACA,,,,,,,,,,,,
AC 1908,,Unknown,IsOperator,False,departures,2025-12-20 01:35Z,2025-12-19 20:35-05:00,,,1,,['Basic'],CYDF,YDF,Deer Lake,America/St_Johns,2025-12-20 04:17Z,2025-12-20 00:47-03:30,,,['Basic'],,,Airbus A320,Air Canada,AC,ACA,,,,,,,,,,,,
AC 1504,,Expected,IsOperator,False,departures,2025-12-20 01:40Z,2025-12-19 20:40-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,1,D37,"['Basic', 'Live']",CYQM,YQM,Moncton,America/Moncton,2025-12-20 03:43Z,2025-12-19 23:43-04:00,,,['Basic'],,,Airbus A319,Air Canada,AC,ACA,,,,,,,,,,,,
UA 8091,,Expected,IsCodeshared,False,departures,2025-12-20 01:40Z,2025-12-19 20:40-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,1,D37,"['Basic', 'Live']",CYQM,YQM,Moncton,America/Moncton,2025-12-20 03:43Z,2025-12-19 23:43-04:00,,,['Basic'],,,Airbus A319,United,UA,UAL,,,,,,,,,,,,
DL 5154,,Delayed,IsOperator,False,departures,2025-12-19 23:43Z,2025-12-19 18:43-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,3,A6,"['Basic', 'Live']",KLGA,LGA,New York,America/New_York,,,,,[],,,Bombardier CRJ900,Delta Air Lines,DL,DAL,,,,,,,,,,,,
KL 7154,,Delayed,IsCodeshared,False,departures,2025-12-19 23:43Z,2025-12-19 18:43-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,3,A6,"['Basic', 'Live']",KLGA,LGA,New York,America/New_York,,,,,[],,,,KLM,KL,KLM,,,,,,,,,,,,
WS 6360,,Delayed,IsCodeshared,False,departures,2025-12-19 23:43Z,2025-12-19 18:43-05:00,2025-12-20 01:40Z,2025-12-19 20:40-05:00,3,A6,"['Basic', 'Live']",KLGA,LGA,New York,America/New_York,,,,,[],,,,WestJet,WS,WJA,,,,,,,,,,,,
TG 5869,,Expected,IsCodeshared,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,1,E77,"['Basic', 'Live']",VIDP,DEL,New Delhi,Asia/Kolkata,2025-12-20 16:30Z,2025-12-20 22:00+05:30,,,['Basic'],,,Boeing 777-200LR,Thai  International,TG,THA,3,,,,,,,,,,,
AC 42,,Expected,IsOperator,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,1,E77,"['Basic', 'Live']",VIDP,DEL,New Delhi,Asia/Kolkata,2025-12-20 16:30Z,2025-12-20 22:00+05:30,,,['Basic'],,,Boeing 777-200LR,Air Canada,AC,ACA,3,,,,,,,,,,,
UA 8160,,Expected,IsCodeshared,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,1,E77,"['Basic', 'Live']",VIDP,DEL,New Delhi,Asia/Kolkata,2025-12-20 16:30Z,2025-12-20 22:00+05:30,,,['Basic'],,,Boeing 777-200LR,United,UA,UAL,3,,,,,,,,,,,
VS 8032,,Expected,IsCodeshared,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,3,B22,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:44Z,2025-12-19 22:44-08:00,2025-12-20 06:44Z,2025-12-19 22:44-08:00,"['Basic', 'Live']",,,Boeing 737-800,Virgin Atlantic,VS,VIR,,2,7,,,,,,,,,
AM 7136,,Expected,IsCodeshared,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,3,B22,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:44Z,2025-12-19 22:44-08:00,2025-12-20 06:44Z,2025-12-19 22:44-08:00,"['Basic', 'Live']",,,Boeing 737-800,Aeromexico,AM,AMX,,2,7,,,,,,,,,
AF 3734,,Expected,IsCodeshared,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,3,B22,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:44Z,2025-12-19 22:44-08:00,2025-12-20 06:44Z,2025-12-19 22:44-08:00,"['Basic', 'Live']",,,Boeing 737-800,Air France,AF,AFR,,2,7,,,,,,,,,
DL 7157,,Expected,IsCodeshared,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,3,B22,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:44Z,2025-12-19 22:44-08:00,2025-12-20 06:44Z,2025-12-19 22:44-08:00,"['Basic', 'Live']",,,Boeing 737-800,Delta Air Lines,DL,DAL,,2,7,,,,,,,,,
WS 771,,Expected,IsOperator,False,departures,2025-12-20 01:45Z,2025-12-19 20:45-05:00,2025-12-20 01:45Z,2025-12-19 20:45-05:00,3,B22,"['Basic', 'Live']",CYLW,YLW,Kelowna,America/Vancouver,2025-12-20 06:44Z,2025-12-19 22:44-08:00,2025-12-20 06:44Z,2025-12-19 22:44-08:00,"['Basic', 'Live']",,,Boeing 737-800,WestJet,WS,WJA,,2,7,,,,,,,,,
UA 8491,,Expected,IsCodeshared,False,departures,2025-12-20 01:50Z,2025-12-19 20:50-05:00,2025-12-20 01:50Z,2025-12-19 20:50-05:00,1,D28,"['Basic', 'Live']",CYFC,YFC,Fredericton,America/Moncton,2025-12-20 03:49Z,2025-12-19 23:49-04:00,,,['Basic'],,,Airbus A319,United,UA,UAL,,,,,,,,,,,,
EK 5751,,Expected,IsCodeshared,False,departures,2025-12-20 01:50Z,2025-12-19 20:50-05:00,2025-12-20 01:50Z,2025-12-19 20:50-05:00,1,D28,"['Basic', 'Live']",CYFC,YFC,Fredericton,America/Moncton,2025-12-20 03:49Z,2025-12-19 23:49-04:00,,,['Basic'],,,Airbus A319,Emirates,EK,UAE,,,,,,,,,,,,
AC 1528,,Expected,IsOperator,False,departures,2025-12-20 01:50Z,2025-12-19 20:50-05:00,2025-12-20 01:50Z,2025-12-19 20:50-05:00,1,D28,"['Basic', 'Live']",CYFC,YFC,Fredericton,America/Moncton,2025-12-20 03:49Z,2025-12-19 23:49-04:00,,,['Basic'],,,Airbus A320,Air Canada,AC,ACA,,,,,,,,,,,,
AC 1196,,Expected,IsOperator,False,departures,2025-12-20 01:50Z,2025-12-19 20:50-05:00,2025-12-20 01:50Z,2025-12-19 20:50-05:00,1,F55,"['Basic', 'Live']",KMIA,MIA,Miami,America/New_York,2025-12-20 05:16Z,2025-12-20 00:16-05:00,,,['Basic'],,,Airbus A220-300,Air Canada,AC,ACA,,,,,,,,,,,,
AC 745,ACA745,Delayed,IsOperator,False,departures,2025-12-19 23:50Z,2025-12-19 18:50-05:00,2025-12-20 01:50Z,2025-12-19 20:50-05:00,1,F95,"['Basic', 'Live']",KSFO,SFO,San Francisco,America/Los_Angeles,2025-12-20 05:39Z,2025-12-19 21:39-08:00,2025-12-20 05:39Z,2025-12-19 21:39-08:00,"['Basic', 'Live']",,,Boeing 737,Air Canada,AC,ACA,2,1,D12,,,,,,,,,
