number,callSign,status,codeshareStatus,isCargo,direction,departure.scheduledTime.utc,departure.scheduledTime.local,departure.revisedTime.utc,departure.revisedTime.local,departure.terminal,departure.gate,departure.quality,arrival.airport.icao,arrival.airport.iata,arrival.airport.name,arrival.airport.timeZone,arrival.scheduledTime.utc,arrival.scheduledTime.local,arrival.revisedTime.utc,arrival.revisedTime.local,arrival.quality,aircraft.reg,aircraft.modeS,aircraft.model,airline.name,airline.iata,airline.icao,arrival.terminal,arrival.baggageBelt,arrival.gate,arrival.runwayTime.utc,arrival.runwayTime.local,departure.runwayTime.utc,departure.runwayTime.local,departure.airport.icao,departure.airport.iata,departure.airport.name,departure.airport.timeZone,departure.checkInDesk
EK 5781,,Departed,IsCodeshared,False,departures,2025-12-19 17:00Z,2025-12-19 12:00-05:00,2025-12-19 21:05Z,2025-12-19 16:05-05:00,1,D44,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-19 21:24Z,2025-12-19 14:24-07:00,2025-12-20 01:55Z,2025-12-19 18:55-07:00,"['Basic', 'Live']",,,Airbus A321,Emirates,EK,UAE,D,,C52,,,,,,,,,
MS 9625,,Departed,IsCodeshared,False,departures,2025-12-19 17:00Z,2025-12-19 12:00-05:00,2025-12-19 21:05Z,2025-12-19 16:05-05:00,1,D44,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-19 21:24Z,2025-12-19 14:24-07:00,2025-12-20 01:55Z,2025-12-19 18:55-07:00,"['Basic', 'Live']",,,Airbus A321,EgyptAir,MS,MSR,D,,C52,,,,,,,,,
AC 141,ACA141,Departed,IsOperator,False,departures,2025-12-19 17:00Z,2025-12-19 12:00-05:00,2025-12-19 21:05Z,2025-12-19 16:05-05:00,1,D44,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-19 21:24Z,2025-12-19 14:24-07:00,2025-12-20 01:55Z,2025-12-19 18:55-07:00,"['Basic', 'Live']",C-GJWO,C05EB7,Airbus A321,Air Canada,AC,ACA,D,,C52,,,,,,,,,
AC 1796,ACA1796,Departed,IsOperator,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:06Z,2025-12-19 16:06-05:00,1,E68,"['Basic', 'Live']",MDPC,PUJ,Punta Cana,America/Santo_Domingo,2025-12-20 01:35Z,2025-12-19 21:35-04:00,2025-12-20 01:45Z,2025-12-19 21:45-04:00,['Basic'],C-GFCH,C05218,Airbus A320,Air Canada,AC,ACA,A,,,,,,,,,,,
AC 1,ACA1,Departed,IsOperator,False,departures,2025-12-19 17:30Z,2025-12-19 12:30-05:00,2025-12-19 21:07Z,2025-12-19 16:07-05:00,1,E79,"['Basic', 'Live']",RJTT,HND,Tokyo,Asia/Tokyo,2025-12-20 07:40Z,2025-12-20 16:40+09:00,2025-12-20 10:54Z,2025-12-20 19:54+09:00,"['Basic', 'Live']",C-FITL,C0171A,Boeing 777-300,Air Canada,AC,ACA,3,,,,,,,,,,,
NH 6821,,Departed,IsCodeshared,False,departures,2025-12-19 17:30Z,2025-12-19 12:30-05:00,2025-12-19 21:07Z,2025-12-19 16:07-05:00,1,E79,"['Basic', 'Live']",RJTT,HND,Tokyo,Asia/Tokyo,2025-12-20 07:40Z,2025-12-20 16:40+09:00,2025-12-20 10:54Z,2025-12-20 19:54+09:00,"['Basic', 'Live']",,,Boeing 777-300ER,ANA,NH,ANA,3,,,,,,,,,,,
PD 125,POE125,Departed,IsOperator,False,departures,2025-12-19 20:30Z,2025-12-19 15:30-05:00,2025-12-19 21:09Z,2025-12-19 16:09-05:00,3,B20,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-19 21:55Z,2025-12-19 16:55-05:00,2025-12-19 22:54Z,2025-12-19 17:54-05:00,"['Basic', 'Live']",C-GZQV,C08862,Embraer 195,Porter,PD,POE,,,6,,,,,,,,,
TS 7807,POE125,Departed,IsCodeshared,False,departures,2025-12-19 20:30Z,2025-12-19 15:30-05:00,2025-12-19 21:09Z,2025-12-19 16:09-05:00,3,B20,"['Basic', 'Live']",CYUL,YUL,Montreal,America/Toronto,2025-12-19 21:55Z,2025-12-19 16:55-05:00,2025-12-19 22:54Z,2025-12-19 17:54-05:00,"['Basic', 'Live']",C-GZQV,C08862,Embraer 195,Air Transat,TS,TSC,,,6,,,,,,,,,
LH 6613,ACA145,Departed,IsCodeshared,False,departures,2025-12-19 19:40Z,2025-12-19 14:40-05:00,2025-12-19 21:10Z,2025-12-19 16:10-05:00,1,D24,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 00:04Z,2025-12-19 17:04-07:00,2025-12-20 01:22Z,2025-12-19 18:22-07:00,"['Basic', 'Live']",C-GKUH,C06120,Boeing 737,Lufthansa,LH,DLH,D,,C56,,,,,,,,,
AC 145,ACA145,Departed,IsOperator,False,departures,2025-12-19 19:40Z,2025-12-19 14:40-05:00,2025-12-19 21:10Z,2025-12-19 16:10-05:00,1,D24,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 00:04Z,2025-12-19 17:04-07:00,2025-12-20 01:22Z,2025-12-19 18:22-07:00,"['Basic', 'Live']",C-GKUH,C06120,Airbus A330-300,Air Canada,AC,ACA,D,,C56,,,,,,,,,
OS 8263,ACA145,Departed,IsCodeshared,False,departures,2025-12-19 19:40Z,2025-12-19 14:40-05:00,2025-12-19 21:10Z,2025-12-19 16:10-05:00,1,D24,"['Basic', 'Live']",CYYC,YYC,Calgary,America/Edmonton,2025-12-20 00:04Z,2025-12-19 17:04-07:00,2025-12-20 01:22Z,2025-12-19 18:22-07:00,"['Basic', 'Live']",C-GKUH,C06120,Boeing 737,Austrian,OS,AUA,D,,C56,,,,,,,,,
TS 956,TSC956,Departed,IsOperator,False,departures,2025-12-19 21:15Z,2025-12-19 16:15-05:00,2025-12-19 21:10Z,2025-12-19 16:10-05:00,3,B38,"['Basic', 'Live']",MUHG,HOG,Holguín,America/Havana,2025-12-20 01:10Z,2025-12-19 20:10-05:00,2025-12-20 00:54Z,2025-12-19 19:54-05:00,['Basic'],C-GOKC,C06AA7,Airbus A321 NEO,Air Transat,TS,TSC,,,,,,,,,,,,
